Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Derek Brown,BrowDe01,http://www.pro-football-reference.com/players/B/BrowDe01.htm,http://www.sports-reference.com/cfb/players/derek-brown-2.html
Corwin Brown,BrowCo21,http://www.pro-football-reference.com/players/B/BrowCo21.htm,
Russell Copeland,CopeRu00,http://www.pro-football-reference.com/players/C/CopeRu00.htm,http://www.sports-reference.com/cfb/players/russell-copeland-1.html
Albert Fontenot,FontAl20,http://www.pro-football-reference.com/players/F/FontAl20.htm,
Player,,http://www.pro-football-reference.com,
Scott Sisson,sissosco01,http://www.pro-football-reference.com/players/S/sissosco01.htm,
Terrence Warren,WarrTe20,http://www.pro-football-reference.com/players/W/WarrTe20.htm,
Fred Baxter,BaxtFr00,http://www.pro-football-reference.com/players/B/BaxtFr00.htm,http://www.sports-reference.com/cfb/players/fred-baxter-1.html
Artie Smith,SmitAr21,http://www.pro-football-reference.com/players/S/SmitAr21.htm,
Forey Duckett,DuckFo20,http://www.pro-football-reference.com/players/D/DuckFo20.htm,
Mark Brunell,BrunMa00,http://www.pro-football-reference.com/players/B/BrunMa00.htm,http://www.sports-reference.com/cfb/players/mark-brunell-1.html
James Willis,WillJa28,http://www.pro-football-reference.com/players/W/WillJa28.htm,
Adrian Murrell,MurrAd00,http://www.pro-football-reference.com/players/M/MurrAd00.htm,http://www.sports-reference.com/cfb/players/adrian-murrell-1.html
Ron George,GeorRo20,http://www.pro-football-reference.com/players/G/GeorRo20.htm,
Sean LaChapelle,LaChSe00,http://www.pro-football-reference.com/players/L/LaChSe00.htm,http://www.sports-reference.com/cfb/players/sean-lachapelle-1.html
Tommy Thigpen,,http://www.pro-football-reference.com,
Herman Arvie,ArviHe20,http://www.pro-football-reference.com/players/A/ArviHe20.htm,
Olanda Truitt,TruiOl00,http://www.pro-football-reference.com/players/T/TruiOl00.htm,http://www.sports-reference.com/cfb/players/olanda-truitt-1.html
Kevin Williams,WillKe23,http://www.pro-football-reference.com/players/W/WillKe23.htm,http://www.sports-reference.com/cfb/players/kevin-williams-3.html
Chuck Belin,BeliCh20,http://www.pro-football-reference.com/players/B/BeliCh20.htm,http://www.sports-reference.com/cfb/players/chuck-belin-1.html
Greg Huntington,HuntGr20,http://www.pro-football-reference.com/players/H/HuntGr20.htm,
Kenny Shedd,ShedKe00,http://www.pro-football-reference.com/players/S/ShedKe00.htm,
Lindsay Knapp,KnapLi20,http://www.pro-football-reference.com/players/K/KnapLi20.htm,
John Henry Mills,MillJo00,http://www.pro-football-reference.com/players/M/MillJo00.htm,http://www.sports-reference.com/cfb/players/john-henry-mills-1.html
Chris Gray,GrayCh20,http://www.pro-football-reference.com/players/G/GrayCh20.htm,http://www.sports-reference.com/cfb/players/chris-gray-1.html
Everett Lindsay,LindEv20,http://www.pro-football-reference.com/players/L/LindEv20.htm,http://www.sports-reference.com/cfb/players/everett-lindsay-1.html
Walter Dunson,,http://www.pro-football-reference.com,
Lonnie Palelei,PaleLo20,http://www.pro-football-reference.com/players/P/PaleLo20.htm,
Mike Devlin,DevlMi20,http://www.pro-football-reference.com/players/D/DevlMi20.htm,
Tyrone Hughes,HughTy00,http://www.pro-football-reference.com/players/H/HughTy00.htm,http://www.sports-reference.com/cfb/players/tyrone-hughes-1.html
Rich Griffith,GrifRi00,http://www.pro-football-reference.com/players/G/GrifRi00.htm,http://www.sports-reference.com/cfb/players/richard-griffith-1.html
Sebastian Savage,SavaSe20,http://www.pro-football-reference.com/players/S/SavaSe20.htm,
Marc Woodard,WoodMa21,http://www.pro-football-reference.com/players/W/WoodMa21.htm,
Player,,http://www.pro-football-reference.com,
Doug Evans,EvanDo21,http://www.pro-football-reference.com/players/E/EvanDo21.htm,
Lawrence Hatch,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/lawrence-hatch-1.html
Brett Wallerstedt,WallBr20,http://www.pro-football-reference.com/players/W/WallBr20.htm,
Richie Anderson,AndeRi00,http://www.pro-football-reference.com/players/A/AndeRi00.htm,http://www.sports-reference.com/cfb/players/richie-anderson-1.html
Chidi Ahanotu,AhanCh20,http://www.pro-football-reference.com/players/A/AhanCh20.htm,
