Draft_Yr,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Def_Int,Sk,College,,Player_NFL_Link,Player_NCAA_Link
1993,1,28,BUF,Thomas Smith,DB,22,2001,0,0,7,43,39,137,0,0,0,0,0,0,0,0,0,0,0,,6,,North Carolina,,/players/S/SmitTh21.htm,
1993,1,29,GNB,George Teague,DB,22,2001,0,0,6,38,18,133,0,0,0,0,0,0,0,0,0,0,0,,15,2.0,Alabama,,/players/T/TeagGe20.htm,
1993,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,,Int,Sk,College/Univ,,,
1993,2,30,SEA,Carlton Gray,DB,22,2000,0,0,4,24,18,102,0,0,0,0,0,0,0,0,0,0,0,,12,2.0,UCLA,College Stats,/players/G/GrayCa20.htm,http://www.sports-reference.com/cfb/players/carlton-gray-1.html
1993,2,31,NWE,Chris Slade,LB,22,2001,0,1,6,53,51,142,0,0,0,0,0,0,0,0,0,0,0,,3,53.5,Virginia,College Stats,/players/S/SladCh00.htm,http://www.sports-reference.com/cfb/players/chris-slade-1.html
1993,2,32,PHO,Ben Coleman,G,22,2001,0,0,6,44,4,135,0,0,0,0,0,0,0,0,0,0,0,,,,Wake Forest,,/players/C/ColeBe20.htm,
1993,2,33,DET,Ryan McNeil,DB,22,2003,0,1,9,53,17,161,0,0,0,0,0,0,0,0,0,0,0,,31,1.0,Miami (FL),College Stats,/players/M/McNeRy20.htm,http://www.sports-reference.com/cfb/players/ryan-mcneil-1.html
1993,2,34,TAM,Demetrious DuBose,LB,22,1996,0,0,0,5,5,60,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,,/players/D/DuBoDe20.htm,
1993,2,35,CHI,Carl Simpson,DT,23,1998,0,0,2,24,23,87,0,0,0,0,0,0,0,0,0,0,0,,,7.5,Florida St.,,/players/S/SimpCa20.htm,
1993,2,36,NYJ,Coleman Rudolph,DE,22,1996,0,0,0,6,0,48,0,0,0,0,0,0,0,0,0,0,0,,,5.0,Georgia Tech,,/players/R/RudoCo20.htm,
1993,2,37,CIN,Tony McGee,TE,22,2003,0,0,10,28,27,156,0,0,0,0,0,0,0,0,322,4089,21,,,,Michigan,College Stats,/players/M/McGeTo00.htm,http://www.sports-reference.com/cfb/players/tony-mcgee-1.html
1993,2,38,ATL,Roger Harper,DB,22,1996,0,0,3,10,10,56,0,0,0,0,0,0,0,0,0,0,0,,4,1.0,Ohio St.,,/players/H/HarpRo20.htm,
1993,2,39,RAM,Troy Drayton,TE,23,2000,0,0,6,21,6,122,0,0,0,0,0,2,11,0,243,2645,24,,,,Penn St.,College Stats,/players/D/DrayTr00.htm,http://www.sports-reference.com/cfb/players/troy-drayton-1.html
1993,2,40,NYG,Michael Strahan,DE,21,2007,4,7,14,121,121,216,0,0,0,0,0,0,0,0,0,0,0,,4,141.5,Texas Southern,,/players/S/StraMi02.htm,
1993,2,41,SDG,Natrone Means,RB,21,2000,0,1,4,38,28,88,0,2,0,0,0,1409,5215,45,103,631,2,,,,North Carolina,College Stats,/players/M/MeanNa00.htm,http://www.sports-reference.com/cfb/players/natrone-means-1.html
1993,2,42,CLE,Dan Footman,DE,24,1998,0,0,2,18,10,69,0,0,0,0,0,0,0,0,0,0,0,,,19.5,Florida St.,,/players/F/FootDa20.htm,
1993,2,43,DEN,Glyn Milburn,RB,22,2001,1,2,0,19,14,138,0,0,0,0,0,183,817,2,170,1322,6,,,,Stanford,College Stats,/players/M/MilbGl00.htm,http://www.sports-reference.com/cfb/players/glyn-milburn-1.html
1993,2,44,PIT,Chad Brown,LB,23,2007,2,3,10,84,32,188,0,0,0,0,0,0,0,0,0,0,0,,6,79.0,Colorado,,/players/B/BrowCh04.htm,
1993,2,45,WAS,Reggie Brooks,RB,22,1996,0,0,1,13,11,41,0,0,0,0,0,437,1726,7,37,267,0,,,,Notre Dame,College Stats,/players/B/BrooRe00.htm,http://www.sports-reference.com/cfb/players/reggie-brooks-2.html
1993,2,46,DAL,Kevin Williams,WR,22,2000,0,0,2,27,17,121,0,0,0,0,0,34,167,2,178,2314,7,,,,Miami (FL),College Stats,/players/W/WillKe00.htm,http://www.sports-reference.com/cfb/players/kevin-williams-4.html
1993,2,47,HOU,Micheal Barrow,LB,23,2005,0,0,10,61,17,173,0,0,0,0,0,0,0,0,0,0,0,,2,43.0,Miami (FL),College Stats,/players/B/BarrMi20.htm,http://www.sports-reference.com/cfb/players/micheal-barrow-1.html
1993,2,48,SFO,Adrian Hardy,DB,23,1995,0,0,0,3,1,36,0,0,0,0,0,0,0,0,0,0,0,,,,NW State (LA),,/players/H/HardAd20.htm,
1993,2,49,IND,Roosevelt Potts,RB,22,1998,0,0,4,16,14,71,0,0,0,0,0,359,1475,1,106,863,4,,,,La-Monroe,,/players/P/PottRo00.htm,
1993,2,50,PHI,Victor Bailey,WR,23,1996,0,0,1,8,8,34,0,0,0,0,0,0,0,0,62,868,2,,,,Missouri,College Stats,/players/B/BailVi00.htm,http://www.sports-reference.com/cfb/players/victor-bailey-1.html
1993,2,51,NWE,Todd Rucci,G,23,1999,0,0,5,35,35,85,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,,/players/R/RuccTo20.htm,
1993,2,52,MIN,Qadry Ismail,WR,22,2002,0,0,4,38,12,137,0,0,0,0,0,5,25,0,353,5137,33,,,,Syracuse,College Stats,/players/I/IsmaQa00.htm,http://www.sports-reference.com/cfb/players/qadry-ismail-1.html
1993,2,53,NOR,Reggie Freeman,LB,23,1993,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,,/players/F/FreeRe20.htm,
1993,2,54,DAL,Darrin Smith,LB,23,2004,0,0,8,55,24,156,0,0,0,0,0,0,0,0,0,0,0,,11,24.0,Miami (FL),College Stats,/players/S/SmitDa22.htm,http://www.sports-reference.com/cfb/players/darrin-smith-2.html
